C_api,C_man,E_NEds,E_Bpag,firstDay,lastDay,NEds,NDays,NActDays,NPages,NPcreated,pagesWomen,wikiprojWomen,ns_user,ns_wikipedia,ns_talk,ns_userTalk,ns_content,weightIJ,NIJ,gender
male,3,1,3,2.01505E+13,2.01708E+13,103,835,22,45,1,0,0,9,6,2,21,63,0.594368208,493,1
unknown,3,3,1,2.00901E+13,2.01709E+13,1128,3177,174,280,40,0,0,7,7,11,42,1047,0.66167318,477,0
male,1,0,3,2.01103E+13,2.01203E+13,82,349,10,10,0,0,0,65,3,0,4,10,0.411985187,297,1
unknown,3,1,1,2.01203E+13,2.01608E+13,95,1615,17,55,1,0,0,5,3,1,2,84,0.997535302,994,0
male,3,3,2,2.01506E+13,2.01704E+13,5587,684,249,577,37,60,0,797,1741,343,660,1975,1.005226945,817,1
unknown,3,1,0,2.00809E+13,2.0141E+13,139,2215,24,10,1,0,0,2,5,4,45,83,1.29126263,974,0
male,3,3,2,2.00801E+13,2.01708E+13,908,3518,230,307,28,0,0,23,2,7,13,859,1.005226945,817,1
unknown,3,1,0,2.01306E+13,2.01709E+13,221,1546,54,64,9,0,0,9,5,4,2,198,1.29126263,974,0
male,1,3,1,2.00609E+13,2.0171E+13,3157,4025,788,1630,148,0,0,14,5,7,14,2671,0.66167318,477,1
male,1,1,3,2.01601E+13,2.01707E+13,109,556,20,34,4,0,0,56,4,0,17,29,0.594368208,493,1
male,1,2,2,2.01301E+13,2.01704E+13,682,1529,201,42,1,0,0,309,0,0,7,256,0.915024129,978,1
unknown,1,1,0,2.00805E+13,2.01512E+13,193,2760,41,33,6,0,0,5,0,10,8,169,1.29126263,974,1
male,1,2,1,2.00611E+13,2.01408E+13,294,2831,99,183,0,0,0,8,7,0,1,276,0.982449109,752,1
male,3,3,1,2.00806E+13,2.01704E+13,1179,3235,300,304,47,0,0,33,2,18,8,1072,0.66167318,477,1
unknown,1,2,0,2.0071E+13,2.01302E+13,250,1961,68,62,1,0,0,5,0,63,71,111,1.204403165,647,1
unknown,1,2,3,2.01503E+13,2.01708E+13,274,884,45,114,3,7,0,59,26,18,28,138,0.831953525,917,1
male,1,0,2,2.01002E+13,2.01309E+13,80,1315,22,27,3,0,0,43,1,0,15,17,0.800528377,664,1
male,3,3,1,2.0071E+13,2.01709E+13,4897,3618,595,2303,94,0,0,1,13,47,6,4477,0.66167318,477,1
unknown,1,2,2,2.00703E+13,2.0151E+13,489,3135,129,163,13,0,0,29,0,0,4,447,0.915024129,978,1
unknown,3,2,0,2.01601E+13,2.01709E+13,731,615,135,350,116,0,0,4,14,11,15,615,1.204403165,647,0
unknown,3,2,0,2.01501E+13,2.01511E+13,400,290,17,14,11,0,0,354,0,0,0,37,1.204403165,647,0
unknown,3,3,0,2.01105E+13,2.0131E+13,877,871,161,375,0,0,0,1,0,9,0,851,0.865617488,412,0
female,3,0,1,2.01311E+13,2.01403E+13,84,127,29,27,2,0,0,4,2,0,2,66,1.057149316,1074,2
unknown,1,3,1,2.01107E+13,2.0171E+13,10965,2278,1274,1347,114,0,0,3924,80,85,314,5105,0.66167318,477,1
unknown,3,3,1,2.01202E+13,2.01407E+13,1413,883,183,175,10,0,0,10,1,4,4,1103,0.66167318,477,0
unknown,1,0,2,2.01501E+13,2.01502E+13,66,19,8,5,0,0,0,51,0,0,3,12,0.800528377,664,1
unknown,3,3,1,2.01312E+13,2.01511E+13,937,705,211,138,0,0,0,10,0,0,1,861,0.66167318,477,0
male,3,1,0,2.01308E+13,2.01402E+13,155,187,26,51,1,0,0,11,2,18,3,51,1.29126263,974,1
unknown,3,3,0,2.00912E+13,2.01704E+13,2405,2663,211,1528,44,0,0,62,61,105,220,1920,0.865617488,412,0
male,3,3,1,2.00508E+13,2.01609E+13,2456,4058,324,884,27,0,0,145,254,313,161,1012,0.66167318,477,1
male,1,0,2,2.01005E+13,2.01403E+13,74,1395,19,18,0,0,0,5,1,21,3,42,0.800528377,664,1
unknown,1,1,1,2.01412E+13,2.01706E+13,101,903,24,30,2,0,0,2,0,9,3,85,0.997535302,994,1
unknown,3,3,2,2.0071E+13,2.01708E+13,1128,3583,232,439,11,0,0,50,22,75,43,856,1.005226945,817,0
male,3,3,3,2.01101E+13,2.01708E+13,11622,2424,1405,832,53,0,0,157,41,259,120,8419,1.481654138,1596,1
male,1,3,2,2.00704E+13,2.01709E+13,1559,3830,487,575,38,0,0,119,40,25,109,1212,1.005226945,817,1
unknown,3,1,0,2.00604E+13,2.01504E+13,160,3289,56,83,8,0,0,1,1,15,1,142,1.29126263,974,0
male,3,2,0,2.00901E+13,2.01709E+13,522,3167,122,75,8,0,0,29,9,25,2,450,1.204403165,647,1
unknown,1,2,1,2.01002E+13,2.01308E+13,385,1264,151,73,2,0,0,5,0,0,1,378,0.982449109,752,1
unknown,1,0,0,2.00609E+13,2.01709E+13,89,4016,30,37,7,0,0,1,1,0,0,84,1.865008032,1277,1
male,3,2,0,2.01106E+13,2.01512E+13,558,1667,217,138,0,0,0,16,11,18,44,432,1.204403165,647,1
unknown,1,2,2,2.00906E+13,2.01202E+13,572,978,113,40,15,0,0,1,0,0,11,558,0.915024129,978,1
male,1,2,2,2.01003E+13,2.01504E+13,309,1854,68,86,1,0,0,36,5,0,34,85,0.915024129,978,1
male,3,0,3,2.01005E+13,2.01406E+13,89,1493,37,39,4,0,0,40,2,3,11,31,0.411985187,297,1
male,1,3,3,2.01112E+13,2.01601E+13,1928,1495,234,285,17,0,0,114,122,6,131,1451,1.481654138,1596,1
unknown,1,0,1,2.01508E+13,2.01606E+13,52,290,27,8,0,0,0,1,4,1,11,35,1.057149316,1074,1
unknown,1,2,0,2.01309E+13,2.01606E+13,230,1020,106,177,1,0,0,3,0,0,4,219,1.204403165,647,1
unknown,1,0,1,2.00512E+13,2.01408E+13,50,3149,12,18,1,0,0,4,0,7,1,38,1.057149316,1074,1
unknown,1,3,2,2.00802E+13,2.01402E+13,1217,2192,227,100,25,0,0,39,1,10,2,1162,1.005226945,817,1
male,1,3,2,2.00708E+13,2.01611E+13,996,3381,90,252,66,0,0,11,0,6,3,813,1.005226945,817,1
male,1,3,1,2.00803E+13,2.01603E+13,30981,2919,740,13841,64,4,0,2912,2920,381,3104,20315,0.66167318,477,1
male,3,2,3,2.00906E+13,2.01205E+13,586,1061,47,369,0,0,0,134,3,6,8,423,0.831953525,917,1
unknown,1,0,3,2.0141E+13,2.01706E+13,79,973,20,22,4,0,0,12,0,0,10,57,0.411985187,297,1
unknown,1,0,2,2.01309E+13,2.01311E+13,74,74,17,26,2,0,0,11,0,0,6,57,0.800528377,664,1
male,1,0,1,2.01109E+13,2.01601E+13,71,1593,7,30,1,0,0,17,3,16,1,22,1.057149316,1074,1
unknown,1,0,0,2.01609E+13,2.01706E+13,88,262,17,13,3,0,0,9,0,1,0,77,1.865008032,1277,1
unknown,3,1,0,2.00912E+13,2.0131E+13,181,1372,46,87,21,0,0,2,0,1,0,161,1.29126263,974,0
unknown,1,1,2,2.01012E+13,2.01701E+13,105,2201,46,52,0,0,0,30,0,0,0,72,1.027717097,841,1
unknown,1,1,1,2.00601E+13,2.01211E+13,221,2497,89,152,6,0,0,4,11,45,2,150,0.997535302,994,1
unknown,3,1,1,2.00407E+13,2.01709E+13,163,4806,44,84,15,0,0,17,14,3,1,121,0.997535302,994,0
unknown,1,3,3,2.00507E+13,2.01602E+13,2306,3850,147,1433,17,2,0,151,682,75,186,1102,1.481654138,1596,1
unknown,1,2,1,2.01702E+13,2.01705E+13,244,78,25,19,1,0,0,41,44,5,5,149,0.982449109,752,1
unknown,2,0,1,2.01408E+13,2.01411E+13,57,74,6,11,1,0,0,38,0,0,13,6,1.057149316,1074,2
male,3,3,3,2.00803E+13,2.01304E+13,1973,1859,335,805,26,1,0,65,97,27,72,1553,1.481654138,1596,1
unknown,1,0,3,2.01502E+13,2.01503E+13,76,25,7,8,0,0,0,50,0,0,1,0,0.411985187,297,1
unknown,3,1,2,2.00607E+13,2.01509E+13,167,3365,39,82,2,0,0,11,9,21,7,118,1.027717097,841,0
unknown,1,3,3,2.01512E+13,2.01706E+13,917,568,131,245,2,0,0,8,7,4,1,797,1.481654138,1596,1
unknown,1,1,2,2.00804E+13,2.01709E+13,179,3444,40,34,3,0,0,4,16,1,14,141,1.027717097,841,1
male,3,1,0,2.01508E+13,2.0151E+13,129,50,6,3,1,0,0,3,0,0,1,125,1.29126263,974,1
unknown,3,3,3,2.0101E+13,2.01506E+13,928,1704,216,352,73,0,0,145,1,0,5,585,1.481654138,1596,0
unknown,2,0,2,2.01208E+13,2.01705E+13,78,1722,27,27,10,0,0,29,1,3,0,45,0.800528377,664,2
unknown,3,2,1,2.00712E+13,2.01305E+13,651,1995,96,242,47,0,0,52,6,9,175,366,0.982449109,752,0
unknown,1,3,2,2.01609E+13,2.0171E+13,5309,376,357,1477,122,0,0,27,20,379,88,4655,1.005226945,817,1
unknown,3,2,0,2.00807E+13,2.0131E+13,375,1897,89,86,22,0,0,1,0,6,2,314,1.204403165,647,0
unknown,2,0,2,2.0081E+13,2.01701E+13,51,3015,18,22,0,0,0,7,0,2,1,41,0.800528377,664,2
unknown,3,3,3,2.00706E+13,2.01604E+13,1176,3210,235,314,3,0,0,6,0,246,18,896,1.481654138,1596,0
unknown,3,3,2,2.00801E+13,2.01509E+13,1983,2805,457,185,30,0,0,4,5,3,36,1706,1.005226945,817,0
unknown,1,1,1,2.01706E+13,2.01707E+13,102,33,16,30,7,0,0,1,4,0,4,78,0.997535302,994,1
male,1,3,3,2.01106E+13,2.01702E+13,4514,2049,309,2713,32,0,0,161,421,62,961,2471,1.481654138,1596,1
unknown,3,2,2,2.00604E+13,2.01409E+13,561,3067,66,118,14,0,0,7,1,90,52,408,0.915024129,978,0
unknown,1,3,3,2.00512E+13,2.01309E+13,2918,2843,119,701,21,0,0,490,27,17,192,1224,1.481654138,1596,1
male,1,0,3,2.01312E+13,2.01401E+13,91,30,6,26,1,0,0,14,0,2,7,67,0.411985187,297,1
unknown,1,0,2,2.00508E+13,2.01212E+13,65,2661,19,25,3,0,0,9,23,1,7,25,0.800528377,664,1
female,3,0,1,2.01408E+13,2.01409E+13,82,26,6,5,0,0,0,79,0,0,3,0,1.057149316,1074,2
male,1,2,3,2.0081E+13,2.0171E+13,738,3271,131,405,4,0,0,46,68,5,156,427,0.831953525,917,1
unknown,3,3,1,2.0051E+13,2.01707E+13,1584,4276,446,1384,2,0,0,2,5,6,19,1411,0.66167318,477,0
unknown,3,3,1,2.00605E+13,2.01602E+13,1991,3558,263,659,62,0,0,48,55,30,76,1671,0.66167318,477,0
unknown,3,2,2,2.00509E+13,2.01708E+13,281,4339,50,100,31,0,0,43,10,8,25,180,0.915024129,978,0
male,3,0,0,2.01012E+13,2.01302E+13,61,818,15,14,1,0,0,1,1,2,3,50,1.865008032,1277,1
unknown,3,2,1,2.01012E+13,2.01709E+13,395,2465,211,307,4,0,0,7,0,3,1,333,0.982449109,752,0
male,3,3,1,2.0111E+13,2.01211E+13,1268,394,119,621,18,1,0,13,6,0,6,1233,0.66167318,477,1
unknown,3,3,2,2.00501E+13,2.01404E+13,2716,3390,230,1858,62,1,0,118,192,16,758,1391,1.005226945,817,0
unknown,1,2,1,2.01105E+13,2.01212E+13,814,608,115,40,18,0,0,2,1,0,2,794,0.982449109,752,1
unknown,3,2,0,2.00805E+13,2.01703E+13,267,3221,53,17,2,0,0,4,1,0,15,247,1.204403165,647,0
unknown,1,2,3,2.01405E+13,2.01408E+13,260,63,23,31,6,0,0,198,0,12,4,44,0.831953525,917,1
unknown,2,2,1,2.01206E+13,2.01701E+13,229,1672,49,14,5,0,0,1,3,0,5,220,0.982449109,752,2
male,3,3,0,2.00912E+13,2.01709E+13,1657,2815,253,650,5,0,0,2,4,11,0,1069,0.865617488,412,1
unknown,3,3,3,2.01103E+13,2.01709E+13,3222,2389,401,987,178,0,0,420,2,0,1,2734,1.481654138,1596,0
male,3,3,1,2.00704E+13,2.01708E+13,3912,3806,703,886,268,0,0,136,2,19,69,3438,0.66167318,477,1
male,1,3,2,2.00705E+13,2.01709E+13,5182,3776,861,525,124,0,0,8,4,75,31,4445,1.005226945,817,1
male,1,1,2,2.01408E+13,2.01605E+13,185,654,51,29,0,0,0,5,0,3,4,144,1.027717097,841,1
unknown,3,3,1,2.00709E+13,2.01702E+13,852,3421,237,196,7,0,0,3,4,129,13,684,0.66167318,477,0
male,3,3,0,2.00807E+13,2.0121E+13,14000,1556,523,5069,1623,0,0,1639,204,132,734,10657,0.865617488,412,1
unknown,3,3,3,2.01011E+13,2.01403E+13,20817,1232,705,5118,485,5,0,142,16,199,106,18871,1.481654138,1596,0
unknown,3,0,0,2.0111E+13,2.01512E+13,89,1545,56,85,0,0,0,2,0,0,0,25,1.865008032,1277,0
unknown,1,1,2,2.00711E+13,2.01501E+13,114,2613,18,16,2,0,0,1,9,16,8,80,1.027717097,841,1
male,1,3,2,2.00804E+13,2.01202E+13,1540,1404,292,370,1,0,0,15,42,83,122,1234,1.005226945,817,1
unknown,3,1,2,2.00606E+13,2.01609E+13,148,3739,52,40,3,0,0,54,0,4,2,87,1.027717097,841,0
unknown,3,2,2,2.01005E+13,2.01512E+13,441,2034,160,195,5,0,0,3,23,9,65,303,0.915024129,978,0
male,1,0,3,2.01303E+13,2.01512E+13,78,1024,11,14,1,0,0,48,0,4,3,13,0.411985187,297,1
male,3,2,0,2.01608E+13,2.0161E+13,247,43,37,61,17,0,0,1,0,9,2,218,1.204403165,647,1
male,3,2,1,2.01004E+13,2.01204E+13,254,726,62,35,0,0,0,7,6,22,0,217,0.982449109,752,1
male,3,3,1,2.00704E+13,2.01703E+13,3078,3612,339,641,55,2,0,396,7,80,62,1704,0.66167318,477,1
male,1,2,3,2.01508E+13,2.01707E+13,770,698,72,224,61,0,0,57,25,72,43,507,0.831953525,917,1
unknown,1,1,2,2.01603E+13,2.01706E+13,119,438,15,27,0,0,0,18,0,4,0,89,1.027717097,841,1
male,1,1,3,2.01706E+13,2.01709E+13,117,103,42,61,23,0,0,8,1,4,9,92,0.594368208,493,1
male,1,2,2,2.01201E+13,2.01509E+13,240,1336,48,72,22,0,0,100,7,3,2,104,0.915024129,978,1
unknown,3,1,1,2.00702E+13,2.01608E+13,101,3487,14,6,1,0,0,1,1,0,0,99,0.997535302,994,0
male,1,2,2,2.01111E+13,2.01708E+13,402,2102,65,56,2,0,0,66,0,0,2,262,0.915024129,978,1
male,1,3,2,2.01101E+13,2.0171E+13,8395,2436,1051,134,13,0,0,38,1,2,51,8299,1.005226945,817,1
male,1,2,3,2.01203E+13,2.01607E+13,743,1570,124,128,3,0,0,13,24,0,85,587,0.831953525,917,1
male,1,1,0,2.01002E+13,2.01707E+13,156,2705,16,20,2,0,0,1,0,2,0,146,1.29126263,974,1
unknown,1,1,2,2.0061E+13,2.01511E+13,212,3319,47,55,1,0,0,7,1,2,2,198,1.027717097,841,1
unknown,1,0,3,2.00512E+13,2.01505E+13,54,3432,23,29,3,0,0,3,0,0,0,51,0.411985187,297,1
male,1,2,1,2.01102E+13,2.01507E+13,600,1614,245,287,88,0,0,1,1,16,10,564,0.982449109,752,1
male,1,0,2,2.00902E+13,2.01202E+13,61,1094,7,39,5,0,0,11,3,0,3,40,0.800528377,664,1
unknown,3,0,1,2.00804E+13,2.01607E+13,62,2999,19,17,1,0,0,1,0,2,7,50,1.057149316,1074,0
male,1,2,2,2.00906E+13,2.01302E+13,263,1350,62,96,19,0,0,4,4,0,0,247,0.915024129,978,1
unknown,2,3,3,2.0071E+13,2.01608E+13,7139,3243,792,2612,343,0,0,35,181,183,234,5867,1.481654138,1596,2
unknown,3,2,1,2.00602E+13,2.01601E+13,697,3615,152,254,105,0,0,4,9,7,4,666,0.982449109,752,0
male,1,2,3,2.01011E+13,2.01311E+13,344,1105,53,101,28,0,0,44,0,9,10,268,0.831953525,917,1
unknown,3,2,1,2.00704E+13,2.01611E+13,345,3517,107,182,6,0,0,11,2,3,1,327,0.982449109,752,0
unknown,3,3,2,2.00812E+13,2.01709E+13,6112,3209,977,2630,124,0,0,54,179,123,150,5359,1.005226945,817,0
unknown,3,2,3,2.01512E+13,2.01612E+13,293,348,16,38,6,0,0,10,0,3,5,260,0.831953525,917,0
male,3,1,2,2.00904E+13,2.01708E+13,216,3044,36,200,0,0,0,1,0,0,2,213,1.027717097,841,1
male,1,2,1,2.0081E+13,2.01305E+13,368,1685,107,73,1,0,0,5,5,7,33,318,0.982449109,752,1
unknown,1,3,3,2.0051E+13,2.01707E+13,2918,4290,836,545,61,0,0,36,21,104,142,2537,1.481654138,1596,1
unknown,3,0,2,2.00808E+13,2.01208E+13,65,1471,28,32,2,0,0,15,0,5,2,39,0.800528377,664,0
unknown,3,1,0,2.01302E+13,2.01505E+13,108,834,34,46,1,0,0,3,0,7,16,73,1.29126263,974,0
male,1,1,3,2.01001E+13,2.01708E+13,197,2775,83,93,1,0,0,65,8,46,7,45,0.594368208,493,1
unknown,1,1,3,2.00704E+13,2.01211E+13,119,2052,25,13,2,0,0,58,2,0,9,50,0.594368208,493,1
unknown,3,2,1,2.00709E+13,2.01709E+13,276,3655,42,25,1,0,0,1,0,3,9,263,0.982449109,752,0
unknown,1,0,2,2.00703E+13,2.01405E+13,56,2627,21,25,1,0,0,1,0,14,3,38,0.800528377,664,1
male,1,3,2,2.01204E+13,2.01709E+13,11482,1980,724,4750,109,0,0,283,701,447,3169,6130,1.005226945,817,1
unknown,3,2,1,2.01201E+13,2.01412E+13,249,1094,46,87,30,0,0,4,0,1,2,170,0.982449109,752,0
unknown,1,2,3,2.00606E+13,2.01706E+13,721,4030,223,450,11,0,0,42,0,2,15,480,0.831953525,917,1
unknown,3,3,1,2.01303E+13,2.01305E+13,911,52,25,207,1,0,0,48,7,84,2,450,0.66167318,477,0
male,3,2,1,2.01102E+13,2.01302E+13,535,716,77,55,12,0,0,8,3,3,24,460,0.982449109,752,1
unknown,3,3,1,2.01408E+13,2.01506E+13,1863,300,203,975,0,0,0,1,21,35,79,1696,0.66167318,477,0
unknown,1,2,3,2.0051E+13,2.01308E+13,433,2872,122,185,16,0,0,61,27,7,7,304,0.831953525,917,1
male,3,0,1,2.01102E+13,2.01512E+13,75,1790,16,16,0,0,0,6,0,1,2,64,1.057149316,1074,1
unknown,3,0,1,2.00606E+13,2.01707E+13,91,4031,30,70,3,0,0,1,0,13,1,71,1.057149316,1074,0
unknown,3,0,0,2.01702E+13,2.01708E+13,63,167,10,32,0,0,0,19,0,0,0,44,1.865008032,1277,0
male,1,1,3,2.01311E+13,2.01608E+13,126,993,56,33,0,0,0,4,0,0,0,110,0.594368208,493,1
unknown,3,1,1,2.00607E+13,2.01704E+13,172,3949,49,66,2,0,0,2,0,33,0,137,0.997535302,994,0
unknown,1,0,2,2.00708E+13,2.01601E+13,58,3084,18,20,2,0,0,5,0,12,2,34,0.800528377,664,1
unknown,3,3,2,2.00805E+13,2.01704E+13,877,3243,125,299,10,0,0,55,1,88,53,666,1.005226945,817,0
unknown,1,0,0,2.01605E+13,2.01705E+13,69,345,17,13,5,0,0,1,0,0,2,64,1.865008032,1277,1
unknown,3,2,0,2.00609E+13,2.01512E+13,263,3372,34,186,1,0,0,6,5,11,4,237,1.204403165,647,0
unknown,3,0,0,2.01511E+13,2.01606E+13,59,220,16,19,6,0,0,2,0,0,1,55,1.865008032,1277,0
male,3,3,2,2.00612E+13,2.01709E+13,38950,3938,1895,23924,219,4,0,747,918,701,692,22245,1.005226945,817,1
unknown,3,1,2,2.01108E+13,2.01402E+13,145,922,45,68,17,0,0,2,0,1,6,105,1.027717097,841,0
unknown,1,2,0,2.00602E+13,2.01709E+13,233,4244,84,111,1,0,0,1,0,59,0,170,1.204403165,647,1
unknown,3,2,1,2.00605E+13,2.01512E+13,608,3531,167,223,32,0,0,4,16,23,24,533,0.982449109,752,0
unknown,3,1,2,2.00806E+13,2.01303E+13,144,1728,44,71,13,0,0,6,0,2,0,136,1.027717097,841,0
unknown,3,3,1,2.00708E+13,2.01607E+13,884,3258,170,344,86,0,0,2,0,13,7,850,0.66167318,477,0
unknown,3,3,0,2.00607E+13,2.01709E+13,3676,4084,322,2172,307,0,0,470,25,19,15,2768,0.865617488,412,0
male,3,2,2,2.00804E+13,2.01308E+13,303,1956,72,93,11,0,0,137,2,1,43,114,0.915024129,978,1
unknown,1,0,1,2.01306E+13,2.01307E+13,89,17,10,27,1,0,0,1,1,0,0,87,1.057149316,1074,1
unknown,2,3,1,2.00605E+13,2.0171E+13,1062,4171,233,563,252,1,0,1,23,26,34,969,0.66167318,477,2
male,3,3,1,2.01604E+13,2.01709E+13,897,523,96,137,22,0,0,42,0,0,0,853,0.66167318,477,1
unknown,3,2,3,2.01408E+13,2.01709E+13,394,1140,190,156,3,0,0,15,0,0,1,180,0.831953525,917,0
male,3,0,1,2.01505E+13,2.01604E+13,59,336,8,10,2,0,0,2,0,0,0,57,1.057149316,1074,1
unknown,3,2,2,2.00908E+13,2.01504E+13,280,2086,136,173,0,0,0,100,0,0,2,113,0.915024129,978,0
male,1,0,3,2.00612E+13,2.01609E+13,55,3560,13,6,1,0,0,9,0,2,0,44,0.411985187,297,1
male,1,2,2,2.01103E+13,2.01404E+13,258,1111,17,32,0,0,0,100,8,1,41,103,0.915024129,978,1
unknown,1,1,2,2.00707E+13,2.01208E+13,188,1860,40,44,2,0,0,41,5,5,25,109,1.027717097,841,1
unknown,3,0,1,2.00704E+13,2.01402E+13,63,2515,24,29,0,0,0,2,0,2,0,58,1.057149316,1074,0
male,1,0,3,2.0101E+13,2.01709E+13,88,2542,33,37,1,0,0,27,1,19,0,41,0.411985187,297,1
male,1,2,2,2.01311E+13,2.01501E+13,359,424,20,54,28,0,0,14,0,0,0,344,0.915024129,978,1
male,3,2,1,2.00807E+13,2.01611E+13,223,3050,34,106,2,0,0,10,6,20,5,171,0.982449109,752,1
unknown,3,3,0,2.0161E+13,2.0171E+13,1383,336,185,238,4,0,0,5,2,1,2,1336,0.865617488,412,0
male,1,3,2,2.00901E+13,2.0161E+13,2686,2833,670,928,8,0,0,27,499,219,96,1734,1.005226945,817,1
unknown,1,0,3,2.01606E+13,2.01706E+13,76,368,34,36,1,0,0,16,0,0,2,46,0.411985187,297,1
male,3,1,1,2.01006E+13,2.01309E+13,126,1188,26,55,2,0,0,3,2,22,12,80,0.997535302,994,1
unknown,1,2,3,2.00406E+13,2.01509E+13,750,4118,237,487,76,0,0,16,92,22,5,557,0.831953525,917,1
unknown,1,2,2,2.00704E+13,2.01604E+13,812,3291,320,169,15,0,0,8,5,2,0,770,0.915024129,978,1
unknown,1,1,3,2.00701E+13,2.0121E+13,115,2090,18,44,10,0,0,17,3,5,2,84,0.594368208,493,1
male,3,1,3,2.0091E+13,2.0151E+13,201,2199,43,50,2,0,0,11,2,21,32,134,0.594368208,493,1
unknown,3,0,2,2.01107E+13,2.01708E+13,57,2225,25,39,0,0,0,4,0,1,0,52,0.800528377,664,0
unknown,1,3,1,2.00911E+13,2.01709E+13,6821,2870,734,889,98,0,0,178,1648,60,161,3494,0.66167318,477,1
unknown,3,2,2,2.01106E+13,2.01707E+13,550,2222,177,220,10,0,0,14,0,0,0,481,0.915024129,978,0
unknown,3,2,1,2.01001E+13,2.01704E+13,848,2653,141,137,8,0,0,3,5,17,17,792,0.982449109,752,0
unknown,1,1,3,2.00607E+13,2.0121E+13,100,2300,11,7,1,0,0,12,4,3,2,79,0.594368208,493,1
unknown,2,2,1,2.01107E+13,2.01604E+13,421,1761,37,17,0,0,0,4,154,0,2,261,0.982449109,752,2
unknown,1,3,1,2.00612E+13,2.01708E+13,965,3895,103,57,4,0,0,8,0,39,1,913,0.66167318,477,1
male,1,3,2,2.01004E+13,2.01709E+13,2821,2704,626,1172,45,0,0,4,1,0,5,2592,1.005226945,817,1
unknown,3,2,2,2.00701E+13,2.01707E+13,490,3859,94,236,5,0,0,49,30,8,39,342,0.915024129,978,0
unknown,1,2,3,2.00405E+13,2.0161E+13,648,4539,218,294,6,0,0,48,71,48,54,307,0.831953525,917,1
unknown,1,0,2,2.00608E+13,2.0141E+13,72,2992,36,39,0,0,0,4,0,0,3,63,0.800528377,664,1
male,3,2,1,2.00509E+13,2.01706E+13,250,4290,74,115,46,0,0,4,0,15,0,228,0.982449109,752,1
unknown,1,1,0,2.01707E+13,2.01707E+13,127,1,1,26,0,0,0,1,0,0,0,119,1.29126263,974,1
male,1,0,2,2.01306E+13,2.01401E+13,72,233,12,38,0,0,0,4,2,0,52,0,0.800528377,664,1
unknown,3,3,2,2.01001E+13,2.01407E+13,2065,1624,187,328,52,0,0,100,0,2,31,1918,1.005226945,817,0
unknown,3,1,1,2.00709E+13,2.01705E+13,134,3530,51,71,20,0,0,7,3,2,8,111,0.997535302,994,0
unknown,3,2,1,2.00803E+13,2.01409E+13,411,2377,75,121,1,0,0,46,3,21,13,312,0.982449109,752,0
male,3,3,3,2.00902E+13,2.01708E+13,5385,3093,761,2046,429,0,0,465,0,81,116,3996,1.481654138,1596,1
unknown,3,1,0,2.01306E+13,2.01703E+13,172,1384,43,75,6,0,0,4,2,6,3,149,1.29126263,974,0
male,1,1,1,2.00811E+13,2.01304E+13,196,1611,38,45,7,0,0,6,1,7,15,161,0.997535302,994,1
male,3,2,0,2.00806E+13,2.01207E+13,228,1487,59,43,6,0,0,2,1,5,4,213,1.204403165,647,1
unknown,1,3,1,2.00603E+13,2.0171E+13,10408,4208,2869,4418,276,0,0,2,2,14,4,9549,0.66167318,477,1
male,3,1,0,2.00805E+13,2.01601E+13,100,2794,21,24,9,0,0,5,1,0,0,94,1.29126263,974,1
male,1,1,3,2.01101E+13,2.01605E+13,167,1947,47,33,1,0,0,18,0,8,3,136,0.594368208,493,1
unknown,1,1,2,2.01401E+13,2.01405E+13,151,100,24,24,7,0,0,115,0,8,5,23,1.027717097,841,1
male,1,2,2,2.01111E+13,2.01301E+13,228,422,32,31,0,0,0,127,23,3,39,35,0.915024129,978,1
unknown,3,1,0,2.00709E+13,2.01708E+13,210,3621,159,190,0,0,0,2,0,0,2,205,1.29126263,974,0
unknown,1,3,2,2.01401E+13,2.01709E+13,6133,1355,982,2550,233,2,0,2,88,245,85,5432,1.005226945,817,1
male,3,3,2,2.00909E+13,2.01708E+13,2073,2885,302,789,33,0,0,69,16,56,21,1762,1.005226945,817,1
unknown,1,1,3,2.01708E+13,2.01709E+13,141,16,12,44,0,0,0,7,0,0,52,82,0.594368208,493,1
unknown,1,1,3,2.00612E+13,2.01607E+13,159,3481,25,28,1,0,0,72,3,4,10,69,0.594368208,493,1
male,1,2,2,2.01003E+13,2.01202E+13,261,711,39,48,4,0,0,7,2,13,0,225,0.915024129,978,1
male,1,3,1,2.01106E+13,2.01709E+13,2177,2285,342,451,37,0,0,1,2,38,10,2093,0.66167318,477,1
unknown,3,1,1,2.01601E+13,2.01709E+13,175,617,55,54,9,0,0,4,3,4,0,161,0.997535302,994,0
unknown,3,2,0,2.00912E+13,2.01705E+13,338,2726,52,61,13,0,0,1,0,0,0,335,1.204403165,647,0
unknown,3,2,1,2.00708E+13,2.01705E+13,415,3566,110,223,10,0,0,27,23,28,22,303,0.982449109,752,0
male,1,3,3,2.01405E+13,2.01708E+13,8068,1187,692,1799,108,0,0,515,575,159,560,5486,1.481654138,1596,1
unknown,1,2,3,2.00708E+13,2.01212E+13,533,1953,127,270,2,0,0,7,5,13,19,487,0.831953525,917,1
unknown,3,0,1,2.00602E+13,2.01207E+13,80,2361,30,29,4,0,0,10,0,0,0,42,1.057149316,1074,0
unknown,1,2,2,2.00809E+13,2.01612E+13,235,3018,105,116,15,0,0,41,6,11,0,155,0.915024129,978,1
